Descricao,Codigo,RET,Validade_RET,IA
PREVENTOR 25,,,,PROPICONAZOLE 25%
TORNADO,,,,TIDIAZURON 50%
PARIZOL,,,,TEBUCONAZOLE 43%
LEXUS 700 WS,,,,IMIDACLOPRID 70%
CLETODIM 50%,,,,CLETODIM 50%
CYPEREX ,,,,PIRAZOSULFURON ETIL 10%
MASTER 80 WP GLYMAX,,,,TEBUCONAZOLE 80%
KIFIX,,,,IMAZAPIC 17.5% + IMAZAPIR 52.5%
METNOVA WG,,,,METSULFURON METIL 60%
FOLITRA MAX,,,,TEBUCONAZOLE 80%
CARBENTEC 75 WP,,,,CARBENDAZIM 75%
CLOMANEX,,,,CLOMAZONE 48%
ALLEGRO,,,,KRESOXIM METIL 12.5% + EPOXICONAZOL 12.5%
ATRAZINA TECNICA,,,,ATRAZINA 97%
IMIDACLOPRID 70% WP AGROSERVICE,,,,IMIDACLOPRID 70%
CLETHOGEN 24 EC,,,,CLETODIM 24%
ATILA 70 WP,,,,IMAZETAPYR 70%
SYSTHANE E,,,,MICLOBUTANIL 26.1%
CAPINEX 50,,,,QUINCLORAC 50%
LABRADOR,,,,METSULFURON METIL 60%
PRIME PLUS,,,,FLUMETRALIN 12.5%
GLIFOSATO TECNICO,,,,GLIFOSATO 95%
NATIVO,,,,TRIFLOXISTROBIN 10% + TEBUCONAZOLE 20%
SIMAZINA TECNICA ,,,,SIMAZINA 97%
THEON SL,,,,DICAMBA 48%
CLORPIRIFOS TECNICO,,,,CLORPIRIFOS 96%
TECNUP 65 SL,,,,GLIFOSATO 65%
KURAPRID,,,,IMIDACLOPRID 10.5% + TIODICARB 28%
GORAN 25 EC,,,,FLUROCLORIDONA 25%
PIRIMITRA,,,,PIRIMICARB 50%
DIFLUBENZURON TECNICO,,,,DIFLUBENZURON 95%
INTREPID SC,"",,,METHOXYFENOZIDE 24%
TOTALZINA,,,,SIMAZINA 25% + ATRAZINA 25%
IMIDACLOPRID TECNICO,,,,IMIDACLOPRID 95%
AVATI,,,,ATRAZINA 50%
GALECUR 80 WP,,,,TEBUCONAZOLE 80%
ZIMTRA,,,,CARBENDAZIM 38% + TEBUCONAZOLE 10%
AGROQUAT,,,,PARAQUAT 24%
CONTROL,,,,ACEFATO 75%
CONTROL HB,,,,CLORIMURON ETIL 25%
TECNUP GREEN,,,,GLIFOSATO 48%
CIKLOPE,,,,IMIDACLOPRID 21% + TIODICARB 28%
GLITRA,,,,GLIFOSATO 72%
ASTERION,,,,LACTOFEN 24%
SAGITARIUS,,,,CLETODIM 24%
SPEED,,,,HALOXYFOP - R - METHYL 10.8%
CONTRA,,,,IMIDACLOPRID 35%
ADMIRAL 25 WP,,,,CLORIMURON ETIL 25%
ADMIRAL 75 WP,,,,CLORIMURON ETIL 75%
DICAMBA TECNICO,,,,DICAMBA 98%
TUFOR - DI,,,,"2.4-D AMINA 72%"
ORGLIF 75.7,,,,GLIFOSATO 77.7%
TARGET,,,,MSMA 79%
FIGTHER PLUS,,,,GAMMACIALOTRINA 15%
CYPERTEC,,,,CIPERMETRINA 25%
ACCION PLUS,,,,IMIDACLOPRID 70%
AGRIS,,,,LAMBDACIALOTRINA 5%
DITEC,,,,DIFLUBENZURON 25%
GLIFOSATO TECNICO,,,,GLIFOSATO 95%
CIPERMETRINA TECNICA,,,,CIPERMETRINA 92%
CLIPPER,,,,CLETODIM 24%
HEXACONAZOLE TECNICO ,,,,HEXACONAZOLE 95%
GLIFOSATO 48% SL SHARPAR,,,,GLIFOSATO 48%
BIFENTHRIN TECNICO,,,,BIFENTRIN 95%
TEBUCONAZOLE 25 PARISUD,,,,TEBUCONAZOLE 25%
PRIORI XTRA,,,,CYPROCONAZOLE 8% + AZOXYSTROBIN 20%
PARAQUAT 24% SL SHARPAR,,,,PARAQUAT 24%
IMIDACLOPRID 70% WS SHARPAR,,,,IMIDACLOPRID 70%
ACETAMIPRID TECNICO,,,,ACETAMIPRID 95%
MULTIMATE,,,,ACIDO ORTOFOSFORICO 40%
ACCION PLUS,,,,IMIDACLOPRID 70%
CARBOXIN TECNICO,,,,CARBOXIN 95%
GRAMISOYA 24 EC,,,,CLETODIM 24%
ACEFATO 75% SP SHARPAR,,,,ACEFATO 75%
RETURN,,,,TIODICARB 35%
TEMIBLE,,,,PICLORAM 24%
JUDO - K,,,,LAMBDACIALOTRINA 10% + IMIDACLOPRID 15%
TECNUP,,,,GLIFOSATO 48%
ARTEA 330 EC ,,,,PROPICONAZOLE 25% + CYPROCONAZOLE 8%
TRIATEC WG,,,,SIMAZINA 45% + ATRAZINA 45%
OVERALL,,,,LAMBDACIALOTRINA 10% + DIFLUBENZURON 25%
ALFA - K,,,,ALFA CIPERMETRINA 12.5% + IMIDACLOPRID 15%
SUPER IMAZ,,,,IMAZETAPYR 70%
SUPER CHLOR,,,,CLORIMURON ETIL 25%
POLUX,,,,GLIFOSATO 48%
SUGAR,,,,TEBUTIURON 50%
TRIADIMENOL TECNICO,,,,TRIADIMENOL 94%
ITRA,,,,ACETAMIPRID 20%
ATRAZINE WG,,,,ATRAZINA 90%
SUPERCAMBA,,,,DICAMBA 57.8%
FLUTRIAFOL TECNICO,,,,FLUTRIAFOL 95%
GLYFOTEC 480 ,,,,GLIFOSATO 48%
LANCER GOLD 500 WP GLYMAX,,,,FLUTRIAFOL 50%
BLOCKER,,,,LAMBDACIALOTRINA 6% + IMIDACLOPRID 42%
AGROMECTINA,,,,ABAMECTINA 1.8%
PROSTORE 25 EC,,,,BIFENTRIN 2.5%
ACEPHATO 75 SP AGROPLUS,,,,ACEPHATE 75%
DUAL GOLD,,,,S-METOLACLORO 96%
BITRA 10 EC,,,,BIFENTRIN 10%
ABAMEC,,,,ABAMECTINA 1.8%
DIFENMYL,,,,DIFENOCONAZOLE 25%
CIPERMETRINA 25% EC SHARPAR,,,,CIPERMETRINA 25%
FACET PM,,,,QUINCLORAC 50%
ENVOKE,,,,TRIFLOXISULFUROM 75%
INJECTOR,,,,DIURON 80%
LANCER 250 SC GLYMAX,,,,FLUTRIAFOL 25%
FLUTRIAMYL,,,,FLUTRIAFOL 25%
SUPER NOVAPIR 80,,,,IMAZETAPYR 80%
ACENOVA 70,,,,ACETAMIPRID 70%
HURACAN 80 WG,,,,FIPRONIL 80%
PROTEMAX,,,,Bo 1% 0% + Zn 25% + Mo 2% + IMIDACLOPRID 10.5% + TIODICARB 30%
IMIDASOL,,,,IMIDACLOPRID 70%
CLORIMURON 50 AGRO PLUS,,,,CLORIMURON ETIL 50%
NOMADE,,,,DIFLUBENZURON 25%
PLATEAU,,,,IMAZAPIC 70%
ENGEO PLENO,,,,LAMBDACIALOTRINA 10.6% + TIAMETOXAM 14.1%
PROPIC 25 EC,,,,PROPICONAZOL 25%
HELOSATE 48 SL,,,,GLIFOSATO 48%
GLISERB SUPRA LS,,,,GLIFOSATO 48%
HAXTRA FS,,,,TIRAM 20% + CARBOXIN 20%
SPEAR,,,,ACETAMIPRID 70%
CHEM WET,,,,Nonil fenol etoxilado 80%
ADAMA ESSENTIALS ATRAZINE 90 WG,,,,ATRAZINA 90%
CLORPIRIFOS TECNICO,,,,CLORPIRIFOS 97%
SILWET L-77 AG,,,,COPOLIMERO DE POLIESTER Y SILICONA 100%
PANTERA 120 CE,,,,QUIZALOFOP P TEFURIL 12%
CLORPIRIFOS TECNICO,,,,CLORPIRIFOS 98%
DIFENOCONAZOLE TECNICO,,,,DIFENOCONAZOLE 95%
STANDAK 250 FS,,,,FIPRONIL 25%
HORNERO 20 SP ,,,,ACETAMIPRID 20%
GLYPHOSATE 72% WDG,,,,GLIFOSATO 72%
SYCLONE,,,,GLIFOSATO 48%
CLEARSOL,,,,IMAZAPIR 30.4%
CLOROTALONIL GRADO TECNICO,,,,Clorotalonil 720 97%
"2.4 - D AMINA 720 SL SHARPAR",,,,"2.4-D AMINA 72%"
CARBENDAZIN 50 % SC SHARPAR,,,,CARBENDAZIM 50%
REGULUS,,,,DIFLUBENZURON 25%
SUPER DIM,,,,CLETODIM 12%
SUPER MET,,,,METSULFURON METIL 10%
NOVACLOR,,,,CLORPIRIFOS 48%
THISULAM 1535,,,,CARBENDAZIM 15% + THIRAM 35%
EQUILIBRIUM,,,,LAMBDACIALOTRINA 6% + IMIDACLOPRID 42%
DIFLULANTRA,,,,LAMBDACIALOTRINA 10% + DIFLUBENZURON 25%
CLOMAZONE 48 PARISUD,,,,CLOMAZONE 48%
TS 34,,,,DODECIL BENCENO SULFONATO DE TRIETANOLAMINA Y NONIL FENOL ETOXILADO 34%
SALVADOR 350 SC,,,,IMIDACLOPRID 35%
TEBUCONAZOLE 25 % EW SHARPAR,,,,TEBUCONAZOLE 25%
DDVP GRADO TECNICO,,,,D.D.V.P. GRADO TECNICO 98%
SPECTRO 150 FS,,,,DIFENOCONAZOLE 15%
KLAP SC,,,,FIPRONIL 20%
ALIANZA,,,,IMIDACLOPRID 23.5% + TEBUCONAZOLE 1.5%
BUSH KILL,,,,TRICLOPIR BUTOXI ETIL ESTER 48%
GLYFOTEC 480,,,,GLIFOSATO 48%
K-CIQUE 60 FS,,,,IMIDACLOPRID 60%
FLUTRINOVA,,,,FLUTRIAFOL 12.5%
FULL ADYUVANT,,,,Nonil fenol etoxilado 19%
CYRUX 25 EC,,,,CIPERMETRINA 25%
TENOR 800 WP,,,,TEBUCONAZOLE 80%
STAR,,,,GLIFOSATO 75.7%
PROPICONAZOLE GRADO TECNICO,,,,PROPICONAZOLE 95%
CHEMOZOLE 43,,,,TEBUCONAZOLE 43%
TECNOPHYR,,,,IMAZETAPIR AMONIO 6% + GLIFOSATO AMONIO 72%
HURACAN 25 FS,,,,FIPRONIL 25%
CYPERTEC,,,,CIPERMETRINA 25%
ROUNDUP ULTRAMAX,,,,GLIFOSATO 74.7%
THIOPHANATE METHYL TECNICO,,,,TIOFANATO METHYL 97%
SULFOL,,,,AZUFRE 60%
FUSILATE 18 EC ,,,,ABAMECTINA 1.8%
CLORIMURON 25% WP SHARPAR,,,,CLORIMURON ETIL 25%
DIFLUBENZURON 25 DIAGRO,,,,DIFLUBENZURON 25%
UNION,,,,THIRAM 20% + CARBOXIN 20%
PYRAZOSULFURON 10 PM,,,,PIRAZOSULFURON ETIL 10%
QUINCLORAC 50 PM,,,,QUINCLORAC 50%
CLETHODIM TECNICO,,,,CLETODIM 36%
GLIFEX,,,,GLIFOSATO 48%
FOLITRA MAX,,,,TEBUCONAZOLE 80%
LARBICARB 75 WP,,,,TIODICARB 75%
LAMBDACIALOTRINA 10 WP DIAGRO,,,,LAMBDACIALOTRINA 10%
MAXI 50,,,,CLORIMURON ETIL 50%
ACETAMIX 70% SP,,,,ACETAMIPRID 70%
HUMMER 24 EC,,,,CLODINAFOP PROPARGILICO 24%
ZERO 5 EC,,,,LAMBDACIALOTRINA 5%
UNIQUAT 20 SL,,,,PARAQUAT 20%
SUPER COOPER,,,,COBRE 5%
TECNUP,,,,GLIFOSATO 36%
TECNUP GREEN,,,,GLIFOSATO 36%
JOCKER 10.8 EC,,,,HALOXYFOP - R - METHYL 10.8%
PARAQUAT GT,,,,PARAQUAT 42%
TRIADIMENOL EC,,,,TRIADIMENOL 25%
ATRAZINA 25 % + SIMAZINA 25 % SL SHARPAR,,,,SIMAZINA 25% + ATRAZINA 25%
DIMTRA 24,,,,CLETODIM 24%
RETURN MAX,,,,IMIDACLOPRID 21% + TIODICARB 28%
KRUEL,,,,CIPERMETRINA 25%
SUPER ORSAL PLUS,,,,CLORIMURON ETIL 75%
ECO RIZOSPRAY,,,,ALCOHOL GRASO ETOXILADO 48%
CLORPIRIFOS GRADO TECNICO ,,,,CLORPIRIFOS 98%
RONDO,,,,GLIFOSATO 48%
CONIZOL,,,,TEBUCONAZOLE 80%
CUPRIMICIN 100 SP,,,,OXITETRACICLINA 2% + ESTREPTOMICINA 18.75%
ACCION PLUS,,,,IMIDACLOPRID 70%
GRAMMYL,,,,HALOXYFOP - R - METHYL 12.5%
STRONG,,,,LAMBDACIALOTRINA 20%
CARBIM 80 WP,,,,CARBENDAZIM 80%
ACETAMIPRID 95%,,,,ACETAMIPRID 95%
ZAFIRO,,,,TEBUCONAZOLE 25%
FULLBACK,,,,CLORPIRIFOS 48%
DICARMYL,,,,TIODICARB 37.5%
CLETHODIM 24 PARISUD,,,,CLETODIM 24%
PROPARGITE 73CE,,,,PROPAGITE 73%
TRADIMEFON EC,,,,TRIADIMEFON 20%
OPERA,,,,PYRACLOSTROBIN 13.3% + EPOXICONAZOLE 5%
ADAMA ESSENTIALS TRIATEC 90 WG,,,,SIMAZINA 45% + ATRAZINA 45%
ORION 80 % WP ,,,,TEBUCONAZOLE 80%
MAJESTY 50 % WDG,,,,LAMBDA CYHALOTHRIN 50%
BRONCO,,,,CLORPIRIFOS 48%
EFECTO,,,,ALFA CIPERMETRINA 10% + IMIDACLOPRID 30%
CIRCON 80 WP,,,,CARBENDAZIM 80%
MAGIC,,,,ALFA CIPERMETRINA 20%
KARATE ZEON 250 CS,,,,LAMBDACIALOTRINA 25%
DITEC 75,,,,DIFLUBENZURON 75%
CROPSTAR,,,,IMIDACLOPRID 15% + TIODICARB 45%
EFICIENTE 97 DF,,,,ACEFATO 97%
VOLT,,,,CLODINAFOP-PROPARGILICO 24%
DRACO 25 SC,,,,FIPRONIL 25%
YUBARTA,,,,TRIFLUMURON 48%
SAAT LYRA 240 EC,,,,CLETODIM 24%
FLUROXIPIR GRADO TECNICO,,,,FLUROXIPIR MEPTIL 98%
METOMYL TM,,,,METOMIL 90%
AGRITELF,,,,ACEITE MINERAL PARAFÍNICO 99%
CLORPIRIFOS 48% EC SHARPAR,,,,CLORPIRIFOS 48%
FLUTRA,,,,FLUTRIAFOL 25%
DISCOVERY MAX,,,,CARBENDAZIM 80%
FLUTRIAFOL 80% WP DIAGRO,,,,FLUTRIAFOL 80%
STAR,,,,GLIFOSATO 78%
MIDORI ACEITE MINERAL 85%,,,,ACEITE MINERAL 85%
S GREEN AZUFRE 60%,,,,AZUFRE 60%
QUORUM 43F ,,,,TEBUCONAZOLE 43%
SPECTRUM,,,,GLIFOSATO 48%
HUSSAR EVOLUTION,,,,IODOSULFURON 0.8% + FENOXAPROP-P-ETIL 6.4%
CARBOFURAN 35% SC DIAGRO,,,,CARBOFURAN 35%
GAMA EXTRA,,,,TIODICARB 75%
PREMIUN 60 FS GLYMAX,,,,IMIDACLOPRID 60%
COMPACT 52 WP GLYMAX,,,,LAMBDACIALOTRINA 52% + IMIDACLOPRID 0%
CHLORYL 75 WG,,,,CLORIMURON ETIL 75%
IMAZPYR 70 SP,,,,IMAZETAPYR 70%
FLUROXIMYL,,,,FLUROXIPIR MEPTIL 20%
HALOXIFOP-R-METHYL 10.8 EC DIAGRO,,,,HALOXIFOP - P - METIL 10.8%
ACEFATO GRADO TECNICO,,,,ACEFATO 98%
EFICAZOLE 25,,,,TEBUCONAZOLE 25%
IMAZPYR 80 SP,,,,IMAZETAPYR 80%
GRANUSATO,,,,GLIFOSATO 75.7%
CHLORYL 25 WP,,,,CLORIMURON ETIL 25%
AKIRA 48 SL,,,,GLIFOSATO 48%
FASTER 80 WP ,,,,FLUTRIAFOL 80%
KARIS 10 CS,,,,LAMBDACIALOTRINA 10%
GUAPO 70 WP,,,,IMIDACLOPRID 70%
QUINCLORAC 25 SC,,,,QUINCLORAC 25%
GLIF 77.7 SG,,,,GLIFOSATO AMONIO 77.7%
DIFLUZIN,,,,DIFLUBENZURON 25%
BRISA 70 WP,,,,DIFLUBENZURON 70%
GOLPE 75 WP,,,,DIFLUBENZURON 75%
TECNURON,,,,GLIFOSATO AMONIO 72% + CLORIMURON ETIL 1.9%
HELMFLURON 240 SC,,,,DIFLUBENZURON 24%
ATRAZINA 90 WG SHARPAR,,,,ATRAZINA 90%
GLYFOTEC 480,,,,GLIFOSATO 48%
JIU JITSU 25 WP,,,,LAMBDACIALOTRINA 25%
LUFENURON 5% EC DIAGRO,,,,LUFENURON 5%
DIANIK 80% WP,,,,NICOSULFURON 80%
CHEM-QUAT,,,,PARAQUAT SAL DICLORURO 27.6%
SEGURYT PLUS,,,,K 4% + LAMBDACIALOTRINA 10% + IMIDACLOPRID 15%
TEBUCONAZOLE 80% WG SHARPAR,,,,TEBUCONAZOLE 80%
THIRAM GRADO TECNICO,,,,THIRAM 98%
SAAT LAMBADA 50 EC,,,,LAMBDA CYHALOTHRIN 5%
QUORUM 25,,,,TEBUCONAZOLE 25%
IMPETUS ,,,,ABAMECTINA 1.8%
DIATRAZ,,,,ATRAZINA 90%
AIKIDO 50 EC,,,,LAMBDACIALOTRINA 5%
MIDAFUR FOLIAR 350,,,,IMIDACLOPRID 35%
THIRAM 35 % CARBENDAZIN 15 % SC SHARPAR,,,,CARBENDAZIM 15% + THIRAM 35%
TECNUP,,,,GLIFOSATO ISOPROPYLAMMONIUM 48%
RONDO LOGICO,,,,GLIFOSATO 78%
DICARB,,,,CARBOSULFAN 40%
AR 4.0,,,,ALQUILARIL POLIETILENGLICOL 4.0 g-ESTERES DEL ACIDO FOSFORICO 75 g 0%
ACEFATO TM 95 SG,,,,ACEFATO 95%
AZOXISTROBIN TECNICO,,,,AZOXYSTROBIN 95%
TEBUTIURON TECNICO,,,,TEBUTIURON 95%
BISPIRIBAC SODICO,,,,BISPIRIBAC SODICO 95%
GENESIS,,,,FLUTRIAFOL 25% + AZOXYSTROBIN 20%
INDICT TREAT,,,,AZOXYSTROBIN 20% + TEBUCONAZOLE 20%
BISPIRIMYL,,,,BISPYRIBAC SODIUM 20%
ELECCION,,,,TEBUTIURON 50%
DIFLUBENZURON TECNICO ,,,,DIFLUBENZURON 95%
CIPERMETRINA TECNICA,,,,CIPERMETRINA 92%
GLIFOSATO TECNICO,,,,GLIFOSATO TECNICO 95%
MONTE 80 WP,,,,OXIFLUORFEN 80%
IMIDUS 35,,,,IMIDACLOPRID 35%
ACETAMIPRID CHEMTEC,,,,ACETAMIPRID 70%
TRATEK SC,,,,THIRAM 20% + CARBOXIN 20%
PROPICONAZOLE 50% EC SHARPAR,,,,PROPICONAZOLE 50%
DIPIQUAT 80 WP,,,,CLORETO DE MEPIQUAT 80%
NICOSULFURON 75% WP SHARPAR,,,,NICOSULFURON 75%
AGRO - R . METIL 108,,,,HALOXYFOP - R - METHYL 10.8%
HEXADIURON WP,,,,HEXAZINONE 13.2% + DIURON 46.8%
SAAT FANDANGO 350 SC,,,,IMIDACLOPRID 35%
THOR 75.7 SG,,,,GLIFOSATO 75.7%
BIPRUM,,,,BISPIRIBAC SODICO 40%
AZOXY 25,,,,AZOXYSTROBIN 25%
SIMAZINA TECNICA,,,,SIMAZINA 97%
CIPERMETRINA TECNICA,,,,CIPERMETRINA 95%
VENTUM 25 SC,,,,AZOXYSTROBIN 25%
CIPROCONAZOLE TECNICO,,,,CYPROCONAZOLE 95%
SAFIRA,,,,SIMAZINA 45% + ATRAZINA 45%
TEBUCONAZOLE TECNICO ,,,,TEBUCONAZOLE 95%
GLYPHOSATE TECH 95 %.-,,,,GLIFOSATO 95%
DUO SEED,,,,IMIDACLOPRID 23.3% + TEBUCONAZOLE 1.3%
CLORPIRIFOS TECNICO,,,,CLORPIRIFOS 97%
CLETODIM GRADO TECNICO,,,,CLETODIM 92%
ATRAZINE,,,,ATRAZINA 90%
MCPA TECH 95 %,,,,MCPA 95%
CARBOFURAN 35 % SC SHARPAR,,,,CARBOFURAN 35%
CHLORPYRIPHOS TECH 94 %,,,,CLORPIRIFOS 94%
CLORETO DE MEPIQUAT TECH 98 %,,,,CLORETO DE MEPIQUAT 98%
PICLORAN,,,,PICLORAM 92%
DIFENTRA MIX,,,,DIFENOCONAZOLE 20% + TEBUCONAZOLE 20%
CLETHODIM TECH 95 % ,,,,CLETODIM 95%
DIAZIN 25 % SC,,,,CARBOSULFAN 25%
ALFACIPERMETRINA TECNICA 95 %,,,,ALFA CIPERMETRINA 95%
GENESIS DUO,,,,CYPROCONAZOLE 8% + AZOXYSTROBIN 20%
LEGEND MAX,,,,ATRAZINA 90%
HALOXIFOP-R-METIL,,,,HALOXYFOP - R - METHYL 90%
DICAMBA TECNICO,,,,DICAMBA 98%
DELTAMETRINA TECNICO,,,,DELTAMETRINA 98%
IMIDACLOPRID TECNICO,,,,IMIDACLOPRID 95%
SIMAZINE,,,,SIMAZINA 95%
ETHEPHON TECNICO 85%,,,,ETEFON 85%
LAMBDACYHALOTRIN TECH 95%,,,,LAMBDACIALOTRINA 95%
PROTEK,,,,THIRAM 37.5% + CARBOXIN 37.5%
DEDEFOS 100,,,,DDVP 100%
FIPRONIL 80% WP,,,,FIPRONIL 80%
ASTRUM,,,,DIFLUBENZURON 25%
TRIAZOFOS 40 PARISUD,,,,TRIAZOFOS 40%
CONAZOLE MIX,,,,DICONAZOLE 25% + PROPICONAZOLE 25%
CONAZOLE,,,,PROPICONAZOLE 25%
"2.4 D -ACID TECH",,,,"2.4 D Acido Tecnico 98%"
CYPERMETHRIN TECH 92 %,,,,CIPERMETRINA 92%
VERTIMEC 18 EC ,,,,ABAMECTINA 1.8%
TRICLOPYR TECNICO,,,,TRICLOPYR 98%
SKILL,,,,ABAMECTINA 1.8%
TURBINE,,,,PROFENOFOS 50%
OPTIMIZER,,,,ACEITE VEGETAL 85%
DICAMTRA,,,,DICAMBA 48%
CLORIMURON 75 PARISUD,,,,CLORIMURON ETIL 75%
METSULFURON METIL,,,,METSULFURON METIL 60%
FIPRONIS,,,,FIPRONIL 20%
FIPRONIL 25 % WDG SHARPAR,,,,FIPRONIL 25%
SPEEDWET ANTIDERIVA NG,,,,Nonil fenol etoxilado 9%
SPEEDWET SILICONADO NG,,,,Nonil fenol etoxilado 9%
SPEEDWET MAXION NG,,,,Nonil fenol etoxilado 15%
CLORIM,,,,CLORIMURON ETIL 25%
TARZAN,,,,METSULFURON METIL 60%
BLADE 480®,,,,GLIFOSATO SAL DE ISOPROPILAMINA 48%
CARMAX®,,,,CARBENDAZIM 50%
UNIMARK ,,,,CLORPIRIFOS 48%
UNIQUAT 20 SL,,,,PARAQUAT 20%
CHEM-UP FULLK,,,,GLIFOSATO POTASICO 66.2%
EFICAZ FS,,,,FIPRONIL 25%
EFICAZ 70 WP,,,,FIPRONIL 70%
PORTERO,,,,CARBENDAZIM 50%
TEBUCUR 25 EC,,,,TEBUCONAZOLE 25%
MAVERICK,,,,HEXAZINONE 13.2% + DIURON 46.8%
QUASAR,,,,AMETRINA 50%
BURNED®,,,,PARAQUAT (EQUIVALENTE A PARAQUAT DICLORURO 27.6%) 20%
OPPA BR CE,,,,ACEITE MINERAL 80%
TIGER,,,,THIODICARB 35%
ROCKET 80,,,,FIPRONIL 80%
ROCKET 80,,,,FIPRONIL 80%
MANCOZEB 80% WP DIAGRO,,,,MANCOZEB 80%
VAKEANO,,,,TEBUCONAZOLE 20%
SUPERA,,,,HIDROXIDO DE COBRE 53.74%
VEGET`OIL,,,,ACEITE VEGETAL 93%
RIZO OIL,,,,ACEITE VEGETAL 85%
SHIELD,,,,IMIDACLOPRID 60%
STIMULATE ,,,,ACIDO GIBERELICO 0.005% + ACIDO 4-INDOL-3-ILBUTIRICO 0.005% + CINETINA 0.009%
NATUR' L OLEO,,,,ACEITE VEGETAL 93%
SULFUR 800,,,,AZUFRE 80%
AXIUM 700WP,,,,ACETAMIPRID 70%
BYPEX MAX,,,,BYSPIRIBAC SODIUM 80%
SETH 90 SP,,,,METOMIL 90%
CARBOXIN 20 + THIRAM 20,,,,THIRAM 20% + CARBOXIN 20%
DIFLUBENZURON 75 WP,,,,DIFLUBENZURON 75%
IMIDACLOPRID 60,,,,IMIDACLOPRID 60%
GUARDIAO,,,,NICOSULFURON 75%
FLUTRIAFOL 80 WG,,,,FLUTRIAFOL 80%
FLUTRIAFOL 25 SC,,,,FLUTRIAFOL 25%
ROCKET,,,,FIPRONIL 25%
BIPAR,,,,ACEITE VEGETAL 93%
VENTUS 800®,,,,MANCOZEB 80%
MASARROZ 40 SC,,,,BISPIRIBAC SODICO 40%
LAMBDACIALOTRINA 10 SC ,,,,LAMBDACIALOTRINA 10%
ACEFATO 97%,,,,ACEFATO 97%
LAMBDACIALOTRINA 95,,,,LAMBDACIALOTRINA 95%
CORAZA 10 SC,,,,LAMBDACIALOTRINA 10%
OLEO VEGETAL,,,,ACEITE VEGETAL 98%
TEXAS,,,,ATRAZINA 90%
LI 700,,,,ACIDO PROPIONICO 35% + LECITINA DE SOJA 35%
NES,,,,AZUFRE AGRICOLA 13%
JUMPER,,,,FIPRONIL 25%
JUMPER MAX,,,,FIPRONIL 80%
ALADUS 500 SC,,,,SIMAZINA 25% + ATRAZINA 25%
GLIFOSATO 95%,,,,GLIFOSATO 95%
CLORPIRIFOS TECNICO,,,,CLORPIRIFOS 94%
CHEROKEE 48 EC,,,,CLORPIRIFOS 48%
LUFENURON TECNICO,,,,LUFENURON 96%
EXODO ,,,,THIODICARB 37.5% + FIPRONIL 5.5%
GENESIS MAX,,,,CYPROCONAZOLE 12% + AZOXYSTROBIN 20%
THIODICARB 35% SC SHARPAR,,,,THIODICARB 35%
ACETAMIPRID 70% SP SHARPAR,,,,ACETAMIPRID 70%
LUFENURON 5% EC SHARPAR,,,,LUFENURON 5%
AZOXISTROBIN 25% SC SHARPAR,,,,AZOXYSTROBIN 25%
FLUTRIAFOL 80% WP SHARPAR,,,,FLUTRIAFOL 80%
GLIFOSATO ACIDO TECNICO,,,,GLIFOSATO ACIDO 95%
VIPER 700 WP,,,,IMAZETAPYR 70%
CONVIT 240 EC,,,,CLETODIM 24%
ATRAZINA TECNICO,,,,ATRAZINA 97%
DIATRAZIN MAX,,,,SIMAZINA 45% + ATRAZINA 45%
NICOSULFURON TECNICO,,,,NICOSULFURON 95%
CLEAN MAX,,,,NICOSULFURON 75%
TRUST,,,,TEBUTIURON 50%
METEORO,,,,FLUTRIAFOL 25% + AZOXYSTROBIN 25%
ACEFATO TECNICO,,,,ACEFATO 95%
AMBAR 50 SC ,,,,ATRAZINA 50%
VETRIX 25 EC,,,,DELTAMETRINA 2.5%
SERPA 700 WP,,,,ACETAMIPRID 70%
BISPIRIBAC SODICO TECNICO,,,,BISPIRIBAC SODICO 95%
COSMIC 24 EC,,,,CLETODIM 24%
HORUS 430 SC,,,,TEBUCONAZOLE 43%
ESKOBA,,,,GLIFOSATO 48%
HEALER MAX,,,,FLUTRIAFOL 80%
KOLET 750 WG,,,,DIFLUBENZURON 75%
AZOXISTROBINA 95%,,,,AZOXISTROBINA 95%
CLODINAFOP PROPARGYL TECNICO,,,,CLODINAFOP PROPARGILICO 93%
HYDRA,,,,CLODINAFOP-PROPARGILICO 24%
DIAMANTE PLUS,,,,CYPROCONAZOLE 8% + AZOXYSTROBIN 20%
AZOXYSTROBIN TECNICO,,,,AZOXYSTROBIN 96%
CIPROCONAZOLE TECNICO,,,,CYPROCONAZOLE 95%
RACE 50 EC,,,,
LECITHIN MAX,,,,LECITINA DE SOJA 35%
BIOFIX ,,,,ACEITE VEGETAL 93%
MIRK OIL,,,,ACEITE DE SOJA 85%
SQ OIL NATURAL,,,,ACEITE DE SOJA 98%
SFERA,,,,ACEITE VEGETAL DE SOJA 92%
METRALLA 90 SP,,,,METOMIL 90%
METHOMYL TECNICO 98%,,,,METOMIL 98%
PROFENOFOS TECNICOS,,,,PROFENOFOS 93%
GLADIADOR 50 EC,,,,PROFENOFOS 50%
BROKER 500 EC,,,,PIRIMIFOS METIL 50%
PREVENT 280 SC,,,,CYPROCONAZOLE 8% + AZOXYSTROBIN 20%
MORSE 900 SP,,,,METOMIL 90%
KASUMIN,,,,KASUGAMICINA 2%
DVA STADOR,,,,THIODICARB 80%
PRONTUS,,,,GLUFOSINATO DE AMONIO 20%
COSMIC,,,,CLETODIM 24%
